Name,Match Score
jun,0.04535777114577775
,0.06894995858491608
hris,0.05701366813419493
,0.04931372675353515
lawson,0.20490014219718045
inperson,0.04833444598595516
hris,0.10351333180666637
,0.04285025552874073
ksas,0.10535054575463834
shrmcp,0.1702041208687293
lien,0.022593185076912544
kpi 					 ,0.10015121333621094
,0.0187906702144133
hris,0.12725161348151018
hris,0.07126868928001931
iii      ,0.020070325034596822
,0.1546595979809269
hris,0.028677523983169504
hris,0.09571703814502559
,0.1302666090889442
inperson,0.021126343766042735
hris,0.06836489258445948
kappa mu,0.08739277022862706
hris,0.07104999643328386
sam houston,0.06639631666305643
edward don  company,0.12422991641611099
hris,0.08091265909911242
,0.07574341360854994
,0.0855065651436313
prabha s.  autosuggestion,0.017477732965827494
,0.10553127471483827
hris,0.1744930042658758
hris,0.10619740200086877
austin,0.043108268329436275
,0.029616038223382546
,0.10048008032422523
hris,0.07959162844262867
usaa,0.04706093108891137
,0.03953124370809413
hris,0.10046254494857114
,0.10197102766373607
nabh,0.09197035782255514
hris,0.10762205698327768
,0.01902771106166674
robert morris,0.032732272322006074
hris expertise,0.04192961465034277
hris,0.10146313194554839
vba sap,0.0811047861344524
hris,0.10218112042622868
,0.03701425741047928
hris,0.04046147950278222
hris,0.0406618462646051
hris,0.04183599006009341
hris,0.044886201812817134
jun       ,0.05702097844708745
eeoc ada,0.13365840650282754
hris,0.04680051189211243
,0.0707415072103284
,0.13853066269421954
eugene lang,0.022399225645651954
washington d.c,0.09227232675857182
"yahoo
search",0.1371994084547234
inperson,0.07078480163829758
,0.07708321581097542
inperson,0.11616002033274152
hris,0.14420002657710998
,0.046625839302131836
hris,0.0633737560160948
hris,0.17291303425307133
,0.12041396137748575
hris,0.05994800729251833
,0.09226433549371031
inperson,0.12598467613510764
jd edwards,0.09594793397619636
,0.018116173291618343
hris,0.11667707425733752
mac,0.02185116076604868
hris,0.07291867498363142
mm gm bajaj,0.12495257536567721
shrm houston,0.08865674512896236
hris,0.10776854855957438
anthony nelson,0.1062496857920636
,0.02965245144315919
dol,0.03914381148099962
,0.03230147360201847
,0.18952015990663937
,0.09284258378243657
hris,0.03482466713113743
,0.15492124375706304
hris,0.022097101902934135
hris,0.15477480779948605
java,0.04841655745956609
hris,0.23353526333450214
hris technologies           ,0.12694309565701287
iris murray,0.1237997068946693
md shrm chapter,0.031130354451358217
,0.011863404424993035
,0.06632265970008919
,0.05091220042822749
,0.09302053280570594
hris,0.0763338059238008
,0.1634410224106791
,0.06695590735727446
,0.06224913403611531
hris,0.018767776790245137
hris,0.08577799064416476
hris,0.08605162409882759
,0.020695219941997824
jocelyn,0.08019809959233759
zeta omega chapter,0.08112899254662287
monica college,0.04408297167810817
ps      ,0.07994944502544046
,0.05799661851766059
li  fung,0.08714841899199854
jun,0.22319259477305023
,0.09860565155933508
ricardo d. macedo,0.03477735385205174
,0.042090304463133735
,0.062058103477569945
,0.03139836742460448
html5,0.00995700279855024
,0.098269640329693
,0.052896495200202655
lesson plans,0.060486473980819744
java 6.0,0.02936554199243197
,0.031305155781560325
matlab,0.02158668857004673
rosanne krcek-frank,0.03683607710146955
mathematica,0.021421098323323142
,0.05448468125379881
,0.18721474077435696
dean,0.019752642492970866
mahatma,0.06234916969216106
,0.1571219540719311
sanford brown,0.09105318296807866
,0.022202066015634205
,0.05596509869088172
,0.013249535640554342
usa      ,0.01945503527520334
,0.08390669783788375
,0.07926776898876192
,0.03300849523001196
,0.04190956668225177
,0.11054795436262028
warren inctechnician,0.03296565734649963
cr,0.05419415172478111
caffe primo los,0.05997758218608326
,0.05190655026479599
,0.013845727310390335
,0.029442262906215728
,0.06830501114194928
,0.10036560757238218
madison,0.061674822575229674
,0.16058538656160556
s. scott,0.02208677230964361
,0.040648572664713334
,0.049208255980793834
,0.0612732957198658
dean,0.03629172337340982
del valle de mxico  mexico city,0.03241440738839814
,0.12269892333014422
mtn mifi,0.04301942028682031
,0.02003250359891386
craig,0.01864174176190711
jd edwards,0.050150501586906426
jun,0.05236370096662713
al-sadd,0.020018623188255296
,0.015512515293585697
ethan araya,0.03312230488496848
,0.0599716637056387
,0.03063422171427762
abbey miller,0.04499737024494519
jd edwards,0.05479121231558254
,0.08339793115244652
suite atd,0.01959470981596078
,0.03729569109152996
,0.12107552268405458
,0.04196201079532479
,0.04515749489164576
milpitas jose,0.023476798647431057
,0.02017291467339732
arthur texas,0.136216335440893
st. john,0.014009654484983954
aka knoll  ,0.030218692357308445
,0.049307558944739725
,0.03835231549795479
dan ryan,0.07077363425659117
,0.0781246553030412
zbrush,0.09793085615638798
mac macintosh,0.07073253026231344
max,0.15870939596171293
,0.061235462767208974
idec,0.04067513287628948
,0.019973218458891683
minerva,0.04964942540146259
,0.06778478999324117
,0.03085849088902808
mac,0.06529075716030468
margaret,0.02830835988479852
http://www.aiga.org/      ,0.046163588725635266
mac os,0.08663731598708851
jack,0.041440627685500324
mac,0.07077050833675078
ymca,0.06507466841935045
,0.017590875432934985
,0.025747913208884827
monica films,0.01665511954752416
jun       ,0.059759758387745235
dorothea hartley,0.04825778178526356
netlab xendesktop,0.03567000729165089
johnson unilever loreal,0.07678314360765404
mac,0.02874652042084821
,0.06320318393752519
,0.01986523727097111
ftp graphic,0.02500747424412872
mac microsoft,0.14602665881342322
,0.030657713416953926
,0.0
jun      ,0.0
warren g harding   ,0.0
mac os,0.0
,0.0
christopher,0.0
ps financials ps,0.0
mixed linux,0.0
mac,0.0
robert kessler,0.0
mac magic,0.0
altris,0.0
sql server sql strategy strategic,0.0
,0.0
